BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address
9115,9105,49458,2214000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),25.09679065,6.039584118,820,48.12106203,11.60783823,"Anzinger Str. 13, 81671 MÃ¼nchen, Germany"
4067,0,587,252000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),2.246796729,0.04748885,821,1.324949857,103.8755707,"166 Kallang Wy, Singapore 349249"
10536,0,13343,0,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),9.338758104,1.462623567,822,42.362408,-122.878974,"943 Automation Way, Medford, OR 97504, USA"
10536,0,13343,0,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),9.338758104,1.462623567,823,42.32356,-122.87561,"333 W 8th St, Medford, OR 97501, USA"
3359,0,2962,756000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),7.522070217,0.290506984,824,34.4984932,133.5300719,"100 Tomioka, Kasaoka, Okayama 714-0092, Japan"
3399,0,3776,644000,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),6.385211056,0.366169359,825,33.70859968,130.9958658,"Japan, ã€’824-0000 Fukuoka, Yukuhashi, ç«¹ç”°ï¼•ï¼—ï¼”âˆ’ï¼’"
3295,0,2790,426000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),4.232129908,0.269915863,826,33.25837256,130.5493107,"1164-2 Hiyoshi, Hirokawa, Yame District, Fukuoka 834-0111, Japan"
3295,0,2790,426000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),4.232129908,0.269915863,827,33.19481167,130.4961095,"883 Kamikitajima, Chikugo, Fukuoka 833-0033, Japan"
3339,0,1959,456000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),4.556325142,0.193028033,828,34.70958933,137.7653385,"10 SanwachÅ, ChÅ«Å-ku, Hamamatsu, Shizuoka 435-0038, Japan"
3277,0,7569,774000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),7.645503649,0.747692148,829,34.98282266,135.8989426,"2-chÅme-8-1 Seiran, Otsu, Shiga 520-0833, Japan"
3339,0,1959,456000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),4.556325142,0.193028033,830,34.70958933,137.7653385,"10 SanwachÅ, ChÅ«Å-ku, Hamamatsu, Shizuoka 435-0038, Japan"
3295,0,2790,426000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),4.232129908,0.269915863,831,33.19481167,130.4961095,"883 Kamikitajima, Chikugo, Fukuoka 833-0033, Japan"
3295,0,2790,426000,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),4.232129908,0.269915863,832,33.19481167,130.4961095,"883 Kamikitajima, Chikugo, Fukuoka 833-0033, Japan"
11780,11778,24943,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),15.22138354,2.771266192,833,42.48509568,-76.4603308,"36 Thornwood Dr, Ithaca, NY 14850, USA"
5759,0,34955,1476000,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),13.88094683,3.080203533,834,22.51460946,73.49607,"GF7W+RC Abhetwa, Gujarat, India"
11610,0,15172,0,Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),13.24637217,1.418615807,835,30.37499699,-97.63750899,"12100 Samsung Blvd, Austin, TX 78754, USA"
11610,0,15172,0,Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),13.24637217,1.418615807,836,30.37499699,-97.63750899,"12100 Samsung Blvd, Austin, TX 78754, USA"
5945,5921,29027,1532000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),15.46984862,2.845174144,837,34.068027,108.62855,"3J9H+6FC, Huimin Rd, Hu Yi Qu, Xi An Shi, Shan Xi Sheng, China, 710306"
5945,5921,29027,1532000,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),15.46984862,2.845174144,838,34.068027,108.62855,"3J9H+6FC, Huimin Rd, Hu Yi Qu, Xi An Shi, Shan Xi Sheng, China, 710306"
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,839,37.40894802,-121.947191,"85 W Tasman Dr, San Jose, CA 95134, USA"
